User_ID,AOV,Customer_Frequency,Avg_Discount_Sensitivity,Total_Spending,Segment,PCA1,PCA2
337c166f,4.435714285714286,7,465.75,31.05,🔁 Frequent Buyer,-1.9438152146915704,-0.5954392998410805
d38a19bf,46.5575,4,3724.6,186.23,😴 Low Value,-0.07610492944935923,-0.2095624199856523
d7f5f0b0,29.72,8,5944.0,237.76,🛍️ Deal Seeker,-0.47215934070452686,1.4204806403840355
395d4994,25.977999999999998,5,3247.2499999999995,129.89,😴 Low Value,-0.7093410852950283,-0.22925660001664147
3fdcdae8,17.275714285714287,7,6046.5,120.93,🔁 Frequent Buyer,-0.8640489789577908,0.7490745033529528
8911f0d1,69.22666666666667,3,10384.0,207.68,🛍️ Deal Seeker,1.1100328741141379,0.7787774913365442
3b857e65,47.81428571428571,7,5020.5,334.7,🛍️ Deal Seeker,0.1477180865472022,1.3608137821966757
204fab33,32.365,8,2589.2000000000003,258.92,🔁 Frequent Buyer,-0.7294824177537973,0.8937070001715255
88159234,2.6260000000000003,5,656.5,13.13,😴 Low Value,-1.6647345173888861,-1.1151086180712302
ba3964fa,13.245,4,0.0,52.98,😴 Low Value,-1.3097265978257615,-1.341268159602883
7f6e9ab5,8.205,8,984.6,65.64,🔁 Frequent Buyer,-1.8889509608257196,-0.12675886617707952
427a8468,42.04625,8,5045.55,336.37,🛍️ Deal Seeker,-0.06749869608464623,1.6305726589415452
57c601ea,88.53333333333335,3,5312.0,265.6,🛍️ Deal Seeker,0.9612593119960902,0.04747760871587279
928bddf9,29.391666666666666,6,4408.75,176.35,🔁 Frequent Buyer,-0.5405341289293943,0.4055054908133828
0f32a6f6,35.294,5,8823.5,176.47,🛍️ Deal Seeker,0.1662339860348591,0.9457004184242356
9b99bfb0,30.825,2,1849.5,61.65,😴 Low Value,-0.5706300805243554,-1.5042315764284986
5f57fbd4,9.8525,8,1970.4999999999998,78.82,🔁 Frequent Buyer,-1.7144883484904727,0.10134124700675147
f7d6dfab,47.62833333333333,6,1428.85,285.77,🔁 Frequent Buyer,-0.2664787466849674,0.26759181406780347
0ae7336e,220.845,2,4416.9,441.69,🎯 High Spender,2.9225234464037197,0.00792666334017737
72343250,18.806,5,4701.5,94.03,😴 Low Value,-0.7578816220357516,-0.09441894589978916
5a1d9851,191.04,1,5731.2,191.04,🎯 High Spender,1.974997321387381,-0.9482113398922569
d5daed7a,79.865,6,0.0,479.19,🛍️ Deal Seeker,0.6357696537986336,0.7180358071223083
0b32dc6f,35.06111111111111,9,3155.5,315.55,🔁 Frequent Buyer,-0.5914629965783235,1.4646668002449215
a151d3b5,77.31,1,3865.5,77.31,😴 Low Value,0.3005496357380516,-1.444357831350998
